(c,kxy)
(jfons,nnn)
(cx,kxya)
(cx,ckxya)
(a,x)
(k,k)
(b,nnn)
(b,j)
(b,f)
(jfons,nooo no mentendeees carahoo)
(jfons,aaa)
(kxy,kxy)
(kx,kx)
(cx,cjkxya)
(jfons,j)
(a,nnn)
(cx,kxy)
6;14;3.0
8;10;3.0
0;13;3.0
3;13;4.0
11;13;3.0
4;15;4.0
7;8;4.0
4;6;3.0
1;6;3.0
2;16;4.0
0;11;3.0
7;15;3.0
14;15;3.0
13;16;4.0
5;9;2.0
1;4;3.0
2;11;3.0
6;8;4.0
4;14;3.0
6;7;4.0
1;14;4.0
10;15;3.0
2;13;4.0
7;14;3.0
0;16;3.0
8;14;3.0
3;11;3.0
4;7;3.0
4;8;3.0
7;10;3.0
1;15;3.0
1;8;3.0
1;7;3.0
1;10;4.0
0;2;3.0
8;15;3.0
4;10;3.0
6;10;3.0
6;15;3.0
5;12;1.75
0;3;3.0
10;14;4.0
11;16;3.0
2;3;4.0
3;16;4.0
