(jfons,nnn)
(cx,cjkxya)
(a,x)
(kx,kx)
(b,b)
(jfons,aaa)
(cx,kxya)
(a,j)
(b,nnn)
(c,kxy)
(a,f)
(b,j)
(k,k)
(kxy,kxy)
(cx,kxy)
(jfons,fff)
(cx,ckxya)
(b,f)
(jfons,j)
(a,nnn)
5;11;3.0
8;15;3.0
7;15;3.0
0;19;3.0
17;19;3.0
0;10;3.0
2;11;3.0
15;17;3.0
6;14;4.0
4;11;4.0
5;17;3.0
4;18;3.0
11;18;3.0
5;10;3.0
1;14;4.0
15;19;3.0
8;19;3.0
4;5;3.0
7;17;3.0
0;15;4.0
1;6;4.0
6;9;3.0
9;16;3.0
18;19;3.0
15;18;4.0
4;17;4.0
10;15;3.0
2;4;3.0
6;13;3.0
7;18;3.0
10;19;4.0
11;15;3.0
8;18;3.0
1;16;4.0
0;8;3.0
0;17;3.0
1;13;3.0
7;10;4.0
2;5;3.0
8;11;4.0
4;15;3.0
5;15;4.0
17;18;3.0
8;17;4.0
2;7;4.0
7;11;3.0
0;18;4.0
6;16;4.0
13;14;3.0
10;18;3.0
3;12;2.25
13;16;3.0
4;8;4.0
14;16;4.0
7;19;4.0
2;17;3.0
11;17;4.0
9;14;3.0
4;7;3.0
5;18;4.0
8;10;3.0
10;17;3.0
0;7;3.0
2;15;3.0
2;19;4.0
2;8;3.0
2;18;3.0
9;13;3.0
4;10;3.0
5;8;3.0
0;2;3.0
4;19;3.0
2;10;4.0
0;5;4.0
1;9;3.0
0;4;3.0
7;8;3.0
5;7;3.0
0;11;3.0
11;19;3.0
5;19;3.0
10;11;3.0
