(b,nnn)
(aaa,aaa)
(cx,kxy)
(b,j)
(c,kxy)
(kx,kx)
(jfons,aaa)
(jfons,nnn)
(b,f)
(kxy,kxy)
(k,k)
(cx,kxya)
(cx,ckxya)
(jfons,nooo no mentendeees carahoo)
(a,nnn)
(cx,cjkxya)
(jfons,j)
(a,x)
7;8;3.0
9;11;3.0
14;16;3.0
3;16;3.0
7;14;3.0
3;14;3.0
4;12;3.0
0;7;3.0
4;11;3.0
0;16;3.0
0;14;3.0
5;10;2.25
7;16;4.0
16;17;3.0
2;12;4.0
11;15;4.0
3;7;3.0
11;12;4.0
6;14;3.0
14;17;4.0
6;7;4.0
9;15;3.0
12;15;4.0
2;9;3.0
7;17;3.0
4;9;3.0
8;14;3.0
10;13;2.0
8;17;3.0
6;17;3.0
8;16;3.0
2;4;3.0
3;8;4.0
3;17;3.0
0;8;4.0
6;8;3.0
0;6;3.0
4;15;3.0
2;11;4.0
6;16;4.0
3;6;3.0
9;12;3.0
2;15;4.0
0;3;4.0
0;17;3.0
